fecha,hora,enfrentamiento
07/10/23,18:30,Unicaja Costa de Almería 3 - 1 UPV Leleman Conqueridor
07/10/23,19:00,Club Vóley Palma 2 - 3 Pamesa Teruel Voleibol
07/10/23,19:00,Volei Villena Petrer 0 - 3 CV Melilla
08/10/23,12:00,CV San Roque 0 - 3 CV Guaguas
07/10/23,19:00,Cisneros Alter Tenerife 3 - 0 Arenal Emevé
07/10/23,19:30,Grupo Herce Soria 3 - 0 Conectabalear CV Manacor
14/10/23,18:00,Conectabalear CV Manacor 0 - 3 Unicaja Costa de Almería
14/10/23,17:30,Arenal Emevé 1 - 3 Grupo Herce Soria
14/10/23,12:00,CV Guaguas 3 - 2 Cisneros Alter Tenerife
15/10/23,17:00,CV Melilla 3 - 0 CV San Roque
14/10/23,18:30,Pamesa Teruel Voleibol 3 - 0 Volei Villena Petrer
14/10/23,19:00,UPV Leleman Conqueridor 3 - 1 Club Vóley Palma
18/10/23,18:30,Unicaja Costa de Almería 3 - 0 Club Vóley Palma
18/10/23,19:30,Volei Villena Petrer 1 - 3 UPV Leleman Conqueridor
18/10/23,20:00,CV San Roque 2 - 3 Pamesa Teruel Voleibol
18/10/23,19:00,Cisneros Alter Tenerife 2 - 3 CV Melilla
18/10/23,19:30,Grupo Herce Soria 3 - 1 CV Guaguas
18/10/23,19:00,Conectabalear CV Manacor 3 - 0 Arenal Emevé
21/10/23,19:45,Arenal Emevé 0 - 3 Unicaja Costa de Almería
21/10/23,18:30,CV Guaguas 3 - 0 Conectabalear CV Manacor
22/10/23,17:00,CV Melilla 0 - 3 Grupo Herce Soria
21/10/23,18:30,Pamesa Teruel Voleibol 3 - 0 Cisneros Alter Tenerife
21/10/23,19:00,UPV Leleman Conqueridor 2 - 3 CV San Roque
21/10/23,19:00,Club Vóley Palma 3 - 0 Volei Villena Petrer
28/10/23,18:30,Unicaja Costa de Almería 3 - 0 Volei Villena Petrer
29/10/23,12:00,CV San Roque 3 - 2 Club Vóley Palma
28/10/23,19:00,Cisneros Alter Tenerife 3 - 0 UPV Leleman Conqueridor
28/10/23,19:30,Grupo Herce Soria 3 - 0 Pamesa Teruel Voleibol
28/10/23,18:00,Conectabalear CV Manacor 0 - 3 CV Melilla
28/10/23,17:00,Arenal Emevé 0 - 3 CV Guaguas
04/11/23,18:30,CV Guaguas 3 - 1 Unicaja Costa de Almería
05/11/23,17:00,CV Melilla 3 - 1 Arenal Emevé
04/11/23,18:30,Pamesa Teruel Voleibol 3 - 2 Conectabalear CV Manacor
04/11/23,18:30,UPV Leleman Conqueridor 3 - 2 Grupo Herce Soria
04/11/23,19:00,Club Vóley Palma 1 - 3 Cisneros Alter Tenerife
05/11/23,11:30,Volei Villena Petrer 2 - 3 CV San Roque
11/11/23,18:30,Unicaja Costa de Almería 0 - 0 CV San Roque
11/11/23,19:00,Cisneros Alter Tenerife 0 - 0 Volei Villena Petrer
11/11/23,19:30,Grupo Herce Soria 0 - 0 Club Vóley Palma
11/11/23,18:00,Conectabalear CV Manacor 0 - 0 UPV Leleman Conqueridor
11/11/23,19:45,Arenal Emevé 0 - 0 Pamesa Teruel Voleibol
15/11/23,19:00,CV Guaguas 0 - 0 CV Melilla
19/11/23,17:00,CV Melilla 0 - 0 Unicaja Costa de Almería
18/11/23,18:30,Pamesa Teruel Voleibol 0 - 0 CV Guaguas
18/11/23,18:30,UPV Leleman Conqueridor 0 - 0 Arenal Emevé
18/11/23,19:00,Club Vóley Palma 0 - 0 Conectabalear CV Manacor
18/11/23,19:00,Volei Villena Petrer 0 - 0 Grupo Herce Soria
19/11/23,12:00,CV San Roque 0 - 0 Cisneros Alter Tenerife
25/11/23,18:30,Unicaja Costa de Almería 0 - 0 Cisneros Alter Tenerife
25/11/23,19:30,Grupo Herce Soria 0 - 0 CV San Roque
25/11/23,18:00,Conectabalear CV Manacor 0 - 0 Volei Villena Petrer
25/11/23,17:00,Arenal Emevé 0 - 0 Club Vóley Palma
25/11/23,18:30,CV Guaguas 0 - 0 UPV Leleman Conqueridor
25/11/23,19:30,CV Melilla 0 - 0 Pamesa Teruel Voleibol
02/12/23,18:30,Unicaja Costa de Almería 0 - 0 Pamesa Teruel Voleibol
02/12/23,18:30,UPV Leleman Conqueridor 0 - 0 CV Melilla
02/12/23,19:00,Club Vóley Palma 0 - 0 CV Guaguas
02/12/23,19:00,Volei Villena Petrer 0 - 0 Arenal Emevé
03/12/23,11:30,CV San Roque 0 - 0 Conectabalear CV Manacor
02/12/23,19:00,Cisneros Alter Tenerife 0 - 0 Grupo Herce Soria
09/12/23,19:30,Grupo Herce Soria 0 - 0 Unicaja Costa de Almería
09/12/23,19:30,Conectabalear CV Manacor 0 - 0 Cisneros Alter Tenerife
09/12/23,19:30,Arenal Emevé 0 - 0 CV San Roque
09/12/23,18:30,CV Guaguas 0 - 0 Volei Villena Petrer
09/12/23,19:30,CV Melilla 0 - 0 Club Vóley Palma
09/12/23,19:30,Pamesa Teruel Voleibol 0 - 0 UPV Leleman Conqueridor
16/12/23,18:30,UPV Leleman Conqueridor 0 - 0 Unicaja Costa de Almería
16/12/23,18:30,Pamesa Teruel Voleibol 0 - 0 Club Vóley Palma
17/12/23,17:00,CV Melilla 0 - 0 Volei Villena Petrer
16/12/23,18:30,CV Guaguas 0 - 0 CV San Roque
16/12/23,17:00,Arenal Emevé 0 - 0 Cisneros Alter Tenerife
16/12/23,18:00,Conectabalear CV Manacor 0 - 0 Grupo Herce Soria
06/01/24,18:30,Unicaja Costa de Almería 0 - 0 Conectabalear CV Manacor
06/01/24,19:30,Grupo Herce Soria 0 - 0 Arenal Emevé
07/01/24,12:00,Cisneros Alter Tenerife 0 - 0 CV Guaguas
07/01/24,12:00,CV San Roque 0 - 0 CV Melilla
06/01/24,19:00,Volei Villena Petrer 0 - 0 Pamesa Teruel Voleibol
06/01/24,19:00,Club Vóley Palma 0 - 0 UPV Leleman Conqueridor
13/01/24,19:00,Club Vóley Palma 0 - 0 Unicaja Costa de Almería
13/01/24,18:30,UPV Leleman Conqueridor 0 - 0 Volei Villena Petrer
13/01/24,18:30,Pamesa Teruel Voleibol 0 - 0 CV San Roque
14/01/24,17:00,CV Melilla 0 - 0 Cisneros Alter Tenerife
13/01/24,18:30,CV Guaguas 0 - 0 Grupo Herce Soria
13/01/24,19:45,Arenal Emevé 0 - 0 Conectabalear CV Manacor
20/01/24,18:30,Unicaja Costa de Almería 0 - 0 Arenal Emevé
20/01/24,18:00,Conectabalear CV Manacor 0 - 0 CV Guaguas
20/01/24,19:30,Grupo Herce Soria 0 - 0 CV Melilla
20/01/24,19:00,Cisneros Alter Tenerife 0 - 0 Pamesa Teruel Voleibol
21/01/24,12:00,CV San Roque 0 - 0 UPV Leleman Conqueridor
20/01/24,19:00,Volei Villena Petrer 0 - 0 Club Vóley Palma
27/01/24,19:00,Volei Villena Petrer 0 - 0 Unicaja Costa de Almería
27/01/24,19:00,Club Vóley Palma 0 - 0 CV San Roque
27/01/24,18:30,UPV Leleman Conqueridor 0 - 0 Cisneros Alter Tenerife
27/01/24,18:30,Pamesa Teruel Voleibol 0 - 0 Grupo Herce Soria
28/01/24,17:00,CV Melilla 0 - 0 Conectabalear CV Manacor
27/01/24,18:30,CV Guaguas 0 - 0 Arenal Emevé
03/02/24,18:30,Unicaja Costa de Almería 0 - 0 CV Guaguas
03/02/24,17:30,Arenal Emevé 0 - 0 CV Melilla
03/02/24,18:00,Conectabalear CV Manacor 0 - 0 Pamesa Teruel Voleibol
03/02/24,19:30,Grupo Herce Soria 0 - 0 UPV Leleman Conqueridor
03/02/24,19:00,Cisneros Alter Tenerife 0 - 0 Club Vóley Palma
03/02/24,19:00,CV San Roque 0 - 0 Volei Villena Petrer
11/02/24,12:00,CV San Roque 0 - 0 Unicaja Costa de Almería
10/02/24,19:00,Volei Villena Petrer 0 - 0 Cisneros Alter Tenerife
10/02/24,19:00,Club Vóley Palma 0 - 0 Grupo Herce Soria
10/02/24,18:30,UPV Leleman Conqueridor 0 - 0 Conectabalear CV Manacor
10/02/24,18:30,Pamesa Teruel Voleibol 0 - 0 Arenal Emevé
11/02/24,17:00,CV Melilla 0 - 0 CV Guaguas
24/02/24,18:30,Unicaja Costa de Almería 0 - 0 CV Melilla
24/02/24,18:30,CV Guaguas 0 - 0 Pamesa Teruel Voleibol
24/02/24,17:30,Arenal Emevé 0 - 0 UPV Leleman Conqueridor
24/02/24,18:00,Conectabalear CV Manacor 0 - 0 Club Vóley Palma
24/02/24,19:30,Grupo Herce Soria 0 - 0 Volei Villena Petrer
24/02/24,18:00,Cisneros Alter Tenerife 0 - 0 CV San Roque
02/03/24,19:00,Cisneros Alter Tenerife 0 - 0 Unicaja Costa de Almería
03/03/24,12:00,CV San Roque 0 - 0 Grupo Herce Soria
02/03/24,19:00,Volei Villena Petrer 0 - 0 Conectabalear CV Manacor
02/03/24,19:00,Club Vóley Palma 0 - 0 Arenal Emevé
02/03/24,18:30,UPV Leleman Conqueridor 0 - 0 CV Guaguas
02/03/24,18:30,Pamesa Teruel Voleibol 0 - 0 CV Melilla
09/03/24,19:30,Pamesa Teruel Voleibol 0 - 0 Unicaja Costa de Almería
09/03/24,19:30,CV Melilla 0 - 0 UPV Leleman Conqueridor
09/03/24,18:30,CV Guaguas 0 - 0 Club Vóley Palma
09/03/24,19:30,Arenal Emevé 0 - 0 Volei Villena Petrer
09/03/24,19:30,Conectabalear CV Manacor 0 - 0 CV San Roque
09/03/24,19:30,Grupo Herce Soria 0 - 0 Cisneros Alter Tenerife
16/03/24,19:30,Unicaja Costa de Almería 0 - 0 Grupo Herce Soria
16/03/24,18:30,Cisneros Alter Tenerife 0 - 0 Conectabalear CV Manacor
16/03/24,18:30,CV San Roque 0 - 0 Arenal Emevé
16/03/24,19:30,Volei Villena Petrer 0 - 0 CV Guaguas
16/03/24,19:30,Club Vóley Palma 0 - 0 CV Melilla
16/03/24,19:30,UPV Leleman Conqueridor 0 - 0 Pamesa Teruel Voleibol
